area_rank,center_lat,center_lon,zone_count,records,max_active_days,area_priority_score_0_100,operational_impact_score_0_100,primary_police_station,primary_junction,recommended_time_window_IST,top_violations,top_vehicle_types,representative_location
1,12.981893,77.607786,20,19384,149,52.28,71.12,Shivajinagar,BTP051 - Safina Plaza Junction,10:00-10:59,WRONG PARKING (11492); NO PARKING (7928); DEFECTIVE NUMBER PLATE (486),PASSENGER AUTO (7549); SCOOTER (5713); CAR (3525),"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)"
2,12.976259,77.577259,51,35809,146,47.29,71.01,Upparpet,BTP040 - Elite Junction,09:00-09:59,WRONG PARKING (18884); NO PARKING (16974); DEFECTIVE NUMBER PLATE (616),SCOOTER (11558); CAR (11134); MOTOR CYCLE (3327),"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
3,12.964706,77.577935,25,15913,149,48.81,68.37,City Market,BTP082 - KR Market Junction,00:00-00:59,WRONG PARKING (12099); NO PARKING (3900); PARKING IN A MAIN ROAD (772),SCOOTER (6383); PASSENGER AUTO (2640); CAR (2233),"KR Main Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)"
4,13.071,77.588,1,3280,115,52.32,63.52,Kodigehalli,No Junction,11:00-11:59,WRONG PARKING (2397); NO PARKING (883); DEFECTIVE NUMBER PLATE (147),SCOOTER (2107); MOTOR CYCLE (965); CAR (186),"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)"
5,12.933585,77.691,2,5718,85,46.32,62.6,HAL Old Airport,No Junction,04:00-04:59,NO PARKING (3389); WRONG PARKING (2522); PARKING IN A MAIN ROAD (1180),SCOOTER (3290); MOTOR CYCLE (1834); CAR (310),"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)"
6,12.999183,77.550004,18,7719,120,38.86,59.79,Malleshwaram,BTP027 - Modi Bridge Junction,08:00-08:59,WRONG PARKING (5449); NO PARKING (2277); PARKING IN A MAIN ROAD (133),SCOOTER (3321); CAR (2367); MOTOR CYCLE (1261),"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
7,12.974283,77.545226,3,3590,99,41.91,58.18,Vijayanagara,BTP020 - Hosahalli Metro Station,04:00-04:59,WRONG PARKING (2057); NO PARKING (1543); DEFECTIVE NUMBER PLATE (74),SCOOTER (2280); MOTOR CYCLE (1143); CAR (134),"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
8,13.008,77.695132,3,3084,143,42.49,57.85,K.R. Pura,No Junction,00:00-00:59,WRONG PARKING (2232); NO PARKING (911); PARKING IN A MAIN ROAD (810),SCOOTER (919); PASSENGER AUTO (854); CAR (654),"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)"
9,13.184848,77.68,4,3374,138,41.77,57.84,Chikkajala,No Junction,01:00-01:59,NO PARKING (2448); WRONG PARKING (936); PARKING IN A MAIN ROAD (818),CAR (2091); MAXI-CAB (1232); LGV (17),"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)"
10,13.035229,77.589,2,2963,126,42.08,57.45,Hebbala,No Junction,03:00-03:59,NO PARKING (2311); WRONG PARKING (652); DEFECTIVE NUMBER PLATE (214),SCOOTER (1125); MOTOR CYCLE (775); CAR (437),"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)"
11,13.008492,77.554697,5,3000,102,39.09,55.86,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",10:00-10:59,WRONG PARKING (1895); NO PARKING (1107); DEFECTIVE NUMBER PLATE (19),CAR (1799); SCOOTER (695); MOTOR CYCLE (269),"80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
12,13.011727,77.553121,8,4440,131,34.83,55.2,Malleshwaram,No Junction,09:00-09:59,WRONG PARKING (2631); NO PARKING (1832); DEFECTIVE NUMBER PLATE (84),CAR (1793); PASSENGER AUTO (1061); SCOOTER (666),"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
13,12.9735,77.551,2,2212,90,40.1,55.11,Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",12:00-12:59,NO PARKING (2036); WRONG PARKING (188); DEFECTIVE NUMBER PLATE (92),SCOOTER (1565); MOTOR CYCLE (555); PASSENGER AUTO (37),"1st Cross Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)"
14,12.965144,77.53852,4,1915,79,39.29,54.04,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",11:00-11:59,WRONG PARKING (1717); NO PARKING (196); PARKING IN A MAIN ROAD (33),SCOOTER (964); CAR (507); MOTOR CYCLE (298),"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)"
15,12.976909,77.571,4,1461,91,40.24,53.41,Chamarajpet,BTP048 - Shanthala Junction,07:00-07:59,NO PARKING (1093); WRONG PARKING (567); PARKING IN A MAIN ROAD (234),PASSENGER AUTO (1212); CAR (106); SCOOTER (78),"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)"
16,12.99618,77.668607,4,1821,110,37.77,52.99,Mahadevapura,No Junction,10:00-10:59,WRONG PARKING (1321); PARKING IN A MAIN ROAD (1164); NO PARKING (622),PASSENGER AUTO (395); SCOOTER (257); BUS (BMTC/KSRTC) (239),"Old Madras Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)"
17,12.944124,77.571,4,1650,104,37.65,52.5,Basavanagudi,BTP108 - Tagore Park Junction,11:00-11:59,WRONG PARKING (1118); NO PARKING (539); PARKING IN A MAIN ROAD (72),SCOOTER (1010); CAR (253); MOTOR CYCLE (197),"Sri DV Gundappa Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)"
18,12.95952,77.577256,5,1853,97,36.51,52.37,City Market,BTP104 - Medical College Circle,11:00-11:59,WRONG PARKING (1761); NO PARKING (141); PARKING IN A MAIN ROAD (43),SCOOTER (533); PASSENGER AUTO (248); LGV (152),"Kalasipalyam Main Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)"
19,12.981208,77.598501,3,1951,75,35.84,52.23,Shivajinagar,BTP042 - Minsk Square Junction (CTO),05:00-05:59,WRONG PARKING (1198); NO PARKING (753); DEFECTIVE NUMBER PLATE (60),SCOOTER (1349); MOTOR CYCLE (436); CAR (107),"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
20,12.99245,77.589,4,2200,60,32.2,50.74,High ground,BTP032 - Windsor Circle,03:00-03:59,WRONG PARKING (1599); NO PARKING (603); DEFECTIVE NUMBER PLATE (57),SCOOTER (1678); MOTOR CYCLE (311); CAR (100),"Palace Road, Thulasi Thottam, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
21,12.953346,77.542602,4,1383,92,35.8,50.73,Byatarayanapura,"BTP095 - Satellite Bus Stand, Mysore Road",01:00-01:59,WRONG PARKING (931); NO PARKING (453); PARKING IN A MAIN ROAD (160),SCOOTER (500); PASSENGER AUTO (273); CAR (258),"Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)"
22,12.94,77.695731,2,1325,40,35.71,50.5,HAL Old Airport,No Junction,08:00-08:59,WRONG PARKING (1275); PARKING IN A MAIN ROAD (1267); NO PARKING (120),CAR (880); PASSENGER AUTO (257); BUS (BMTC/KSRTC) (55),"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)"
23,13.00756,77.571,2,1563,116,33.15,49.8,Malleshwaram,No Junction,09:00-09:59,WRONG PARKING (1088); NO PARKING (479); DEFECTIVE NUMBER PLATE (13),CAR (838); SCOOTER (394); MOTOR CYCLE (211),"Sri Venkataranga Ayangar Road, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (In"
