rank,lat_cell,lon_cell,records,active_days,priority_score_0_100,police_station,junction,peak_hour_IST,peak_hour_count,peak_hour_share,top_weekday,avg_violation_severity_1_5,avg_vehicle_obstruction_1_5,top_violations,top_vehicle_types,sample_location
1,12.981,77.61,4405,149,78.43,Shivajinagar,BTP051 - Safina Plaza Junction,10:00-10:59,946,0.2148,Sunday,2.18,2.37,WRONG PARKING (2319); NO PARKING (2106); REFUSE TO GO FOR HIRE (296),PASSENGER AUTO (3114); SCOOTER (517); CAR (477),"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)"
2,12.964,77.577,3743,149,71.82,City Market,BTP082 - KR Market Junction,00:00-00:59,797,0.2129,Monday,2.1,1.83,WRONG PARKING (3361); NO PARKING (393); PARKING IN A MAIN ROAD (107),SCOOTER (1596); PASSENGER AUTO (1176); CAR (368),"KR Main Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)"
3,12.977,77.576,3182,146,65.63,Upparpet,BTP040 - Elite Junction,09:00-09:59,505,0.1587,Saturday,2.05,1.51,NO PARKING (2247); WRONG PARKING (939); DEFECTIVE NUMBER PLATE (70),SCOOTER (1551); MOTOR CYCLE (696); PASSENGER AUTO (444),"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
4,12.977,77.577,1907,145,56.6,Upparpet,BTP040 - Elite Junction,08:00-08:59,278,0.1458,Tuesday,2.02,2.23,WRONG PARKING (977); NO PARKING (930); DEFECTIVE NUMBER PLATE (25),CAR (940); SCOOTER (465); MOTOR CYCLE (202),"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
5,12.973,77.579,2367,113,54.51,Upparpet,BTP044 - Sagar Theatre Junction,10:00-10:59,358,0.1512,Sunday,2.11,1.35,NO PARKING (1451); WRONG PARKING (929); PARKING IN A MAIN ROAD (65),SCOOTER (1472); MOTOR CYCLE (398); CAR (205),"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)"
6,13.071,77.588,3280,115,52.32,Kodigehalli,No Junction,11:00-11:59,815,0.2485,Monday,2.03,1.12,WRONG PARKING (2397); NO PARKING (883); DEFECTIVE NUMBER PLATE (147),SCOOTER (2107); MOTOR CYCLE (965); CAR (186),"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)"
7,12.982,77.608,1408,137,52.06,Shivajinagar,BTP051 - Safina Plaza Junction,10:00-10:59,328,0.233,Sunday,2.04,2.01,WRONG PARKING (1019); NO PARKING (389); DEFECTIVE NUMBER PLATE (92),PASSENGER AUTO (518); SCOOTER (469); CAR (284),"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
8,12.97,77.576,1591,135,51.69,City Market,BTP043 - Upparpet Junction,09:00-09:59,215,0.1351,Monday,2.02,1.75,WRONG PARKING (982); NO PARKING (615); DEFECTIVE NUMBER PLATE (31),SCOOTER (653); PASSENGER AUTO (430); MOTOR CYCLE (289),"AS Char Main Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)"
9,12.976,77.577,1795,124,51.55,Upparpet,BTP040 - Elite Junction,09:00-09:59,316,0.176,Saturday,2.03,1.4,WRONG PARKING (947); NO PARKING (849); DEFECTIVE NUMBER PLATE (27),SCOOTER (1130); CAR (308); MOTOR CYCLE (249),"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
10,12.984,77.604,1628,120,51.39,Shivajinagar,BTP211 - Central Street Junction,10:00-10:59,193,0.1186,Monday,2.1,2.43,WRONG PARKING (857); NO PARKING (771); DEFECTIVE NUMBER PLATE (77),PASSENGER AUTO (1312); CAR (158); SCOOTER (105),"Central Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
11,12.984,77.603,1651,116,51.38,Shivajinagar,BTP211 - Central Street Junction,10:00-10:59,283,0.1714,Sunday,2.08,2.38,WRONG PARKING (947); NO PARKING (705); DEFECTIVE NUMBER PLATE (65),PASSENGER AUTO (1300); SCOOTER (155); CAR (119),"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
12,12.977,77.58,1257,132,50.9,Upparpet,BTP044 - Sagar Theatre Junction,09:00-09:59,202,0.1607,Tuesday,2.08,2.67,WRONG PARKING (834); NO PARKING (426); PARKING IN A MAIN ROAD (35),CAR (541); PASSENGER AUTO (156); SCOOTER (131),"1st Main Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
13,12.934,77.691,3343,85,50.83,HAL Old Airport,No Junction,04:00-04:59,545,0.163,Tuesday,2.99,1.13,NO PARKING (1900); WRONG PARKING (1560); PARKING IN A MAIN ROAD (892),SCOOTER (1968); MOTOR CYCLE (1087); CAR (137),"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)"
