target_date,target_weekday,deployment_status,area_rank,priority_band,primary_police_station,recommended_time_window_IST,suggested_patrol_units,operational_impact_score_0_100,historical_area_records,station_same_weekday_baseline,station_same_hour_baseline,recommended_intervention,primary_junction,representative_location,field_success_metric
2026-06-24,Wednesday,Deploy,1,Critical,Shivajinagar,10:00-10:59,4,71.12,19384,2911,4997,auto stand regulation; tow-away readiness; junction approach protection,BTP051 - Safina Plaza Junction,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Deploy,2,Critical,Upparpet,09:00-09:59,4,71.01,35809,4179,4632,tow-away readiness; junction approach protection,BTP040 - Elite Junction,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,3,High,City Market,00:00-00:59,3,68.37,15913,2647,1612,carriageway clearance; auto stand regulation; tow-away readiness; junction approach protection,BTP082 - KR Market Junction,"KR Main Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,4,High,Kodigehalli,11:00-11:59,3,63.52,3280,1403,2091,tow-away readiness; junction approach protection,No Junction,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,5,High,HAL Old Airport,04:00-04:59,3,62.6,5718,3579,2595,carriageway clearance; tow-away readiness; junction approach protection,No Junction,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,6,Medium,Malleshwaram,08:00-08:59,2,59.79,7719,2704,2899,carriageway clearance; tow-away readiness; junction approach protection,BTP027 - Modi Bridge Junction,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,7,Medium,Vijayanagara,04:00-04:59,2,58.18,3590,2286,1613,tow-away readiness,BTP020 - Hosahalli Metro Station,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,11,Medium,Malleshwaram,10:00-10:59,2,55.86,3000,2704,3054,tow-away readiness,"BTP001 - 10th Cross, Dr. Rajkumar Road","80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,12,Medium,Malleshwaram,09:00-09:59,2,55.2,4440,2704,2709,auto stand regulation; tow-away readiness; junction approach protection,No Junction,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,14,Medium,Vijayanagara,11:00-11:59,2,54.04,1915,2286,1701,carriageway clearance; tow-away readiness,"BTP016 - 5th Main Road, RPC Layout","Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",repeat violations reduced in same area over next 7 days
